XAUUSD;2014.03.13;35533;-1117;10882;134;0;0;0;0
XAUUSD;2014.03.14;35183;-350;10745;34;0;0;0;0
XAUUSD;2014.03.17;35866;-525;10850;155;81504;531;88729;1126
XAUUSD;2014.03.18;34808;49;11252;88;0;0;0;0
XAUUSD;2014.03.19;31496;-64;13239;21;0;0;0;0
XAUUSD;2014.03.20;26218;-439;16062;-292;0;0;0;0
XAUUSD;2014.03.21;23063;34;19136;-94;94535;371;81073;-133
XAUUSD;2014.03.24;24453;-229;17152;-254;91781;-1135;82684;-119
XAUUSD;2014.03.25;18003;22;23582;-652;99237;984;74473;-1129
XAUUSD;2014.03.26;17012;-991;23093;-489;0;0;0;0
XAUUSD;2014.03.27;7111;267;13063;545;0;0;0;0
XAUUSD;2014.03.28;5121;15;16969;-216;0;0;0;0
XAUUSD;2014.03.31;5154;33;16935;-34;0;0;0;0
XAUUSD;2014.04.01;4510;1;18732;-1;0;0;0;0
XAUUSD;2014.04.02;4396;7;19060;-143;0;0;0;0
XAUUSD;2014.04.11;13742;-48;9702;-110;0;0;0;0
XAUUSD;2014.04.14;12274;87;10424;-52;0;0;0;0
XAUUSD;2014.04.15;15857;0;8619;-32;0;0;0;0
XAUUSD;2014.04.16;9529;-40;13463;-40;0;0;0;0
XAUUSD;2014.04.17;9662;128;13444;-19;0;0;0;0
XAUUSD;2014.04.18;5714;-25;17945;171;0;0;0;0
XAUUSD;2014.04.22;5175;25;19153;-102;0;0;0;0
XAUUSD;2014.04.23;4502;-126;19970;-104;0;0;0;0
XAUUSD;2014.04.24;4349;-153;19365;-604;0;0;0;0
XAUUSD;2014.04.25;21368;535;29058;-17572;0;0;0;0
XAUUSD;2014.04.28;27231;153;21378;150;0;0;0;0
XAUUSD;2014.04.29;21917;19;28891;126;0;0;0;0
XAUUSD;2014.04.30;21913;-3;28791;16;0;0;0;0
XAUUSD;2014.05.01;22052;139;28770;-6;0;0;0;0
XAUUSD;2014.05.02;20051;593;32516;-111;0;0;0;0
XAUUSD;2014.05.05;29718;407;21249;-12;0;0;0;0
